,city,region,country,lng,lat,population,continent
0,A Coruña,Galicia,ES,-8.3833,43.3667,245468,EU
1,Aachen,North Rhine-Westphalia,DE,6.0838,50.7762,248960,EU
2,Aalborg,Nordjylland,DK,9.9166,57.0337,122219,EU
3,Aalen,Baden-Württemberg,DE,10.0936,48.8372,68361,EU
4,Aalsmeer,Noord-Holland,NL,4.7625,52.2639,31728,EU
5,Aalst,Flanders,BE,4.0392,50.9383,85715,EU
6,Aalten,Gelderland,NL,6.5808,51.925,27011,EU
7,Aarau,Aargau,CH,8.0446,47.3923,21268,EU
8,Aarhus,Midtjylland,DK,10.2107,56.1572,237551,EU
9,Aasiaat,Qaasuitsup,GL,-52.8694,68.7097,3069,NA
10,Aba,Abia,NG,7.3667,5.1167,1530000,AF
11,Abakan,Khakasiya,RU,91.4167,53.7167,181709,EU
12,Abancay,Apurímac,PE,-72.8833,-13.6333,72277,SA
13,Abarkūh,Yazd,IR,53.2822,31.1289,27524,AS
14,Abasolo,Guanajuato,MX,-101.5289,20.4511,27389,NA
15,Abasolo,Tamaulipas,MX,-98.3733,24.0559,11862,NA
16,Abbeville,Hauts-de-France,FR,1.8358,50.1058,22837,EU
17,Abbottabad,Khyber Pakhtunkhwa,PK,73.2167,34.15,148587,AS
18,Abdurahmoni Jomí,Khatlon,TJ,68.689,37.9794,8925,AS
19,Abengourou,Comoé,CI,-3.4964,6.7297,104020,AF
20,Abeokuta,Ogun,NG,3.35,7.15,888924,AF
21,Abhar,Zanjān,IR,49.2181,36.1467,99285,AS
22,Abhā,‘Asīr,SA,42.5,18.2167,236157,AS
23,Abidjan,Abidjan,CI,-4.0267,5.3364,4980000,AF
24,Abinsk,Krasnodarskiy Kray,RU,38.1667,44.8667,38547,EU
25,Aboisso,Comoé,CI,-3.2,5.4667,37654,AF
26,Abomey,Zou,BJ,1.9914,7.1853,82154,AF
27,Abra Pampa,Jujuy,AR,-65.7,-22.7167,4480,SA
28,Abrantes,Santarém,PT,-8.1978,39.4644,39325,EU
29,Abu Dhabi,Abū Z̧aby,AE,54.3969,24.4511,1483000,AS
30,Abuja,Federal Capital Territory,NG,7.4914,9.0556,1235880,AF
31,Abéché,Ouaddaï,TD,20.8347,13.8331,76492,AF
32,Acacoyagua,Chiapas,MX,-92.6747,15.3408,8092,NA
33,Acacías,Meta,CO,-73.7647,3.9889,75252,SA
34,Acala,Chiapas,MX,-92.8069,16.5533,15001,NA
35,Acanceh,Yucatán,MX,-89.4524,20.8133,10968,NA
36,Acapulco de Juárez,Guerrero,MX,-99.8825,16.8636,673478,NA
37,Acarigua,Portuguesa,VE,-69.2019,9.5597,195637,SA
38,Acatic,Jalisco,MX,-102.91,20.7803,21530,NA
39,Acatlán,Jalisco,MX,-103.6014,20.4242,22261,NA
40,Acatzingo,Puebla,MX,-97.7822,18.9817,52078,NA
41,Acayucan,Veracruz,MX,-94.9103,17.9422,83817,NA
42,Accra,Greater Accra,GH,-0.187,5.6037,2291352,AF
43,Acevedo,Huila,CO,-75.8897,1.8047,39877,SA
44,Achkhoy-Martan,Chechnya,RU,45.2833,43.1939,23282,EU
45,Achí,Bolívar,CO,-74.5561,8.5692,23051,SA
46,Actopan,Veracruz,MX,-96.6192,19.5036,43388,NA
47,Acula,Veracruz,MX,-95.7833,18.5167,5350,NA
48,Acámbaro,Guanajuato,MX,-100.7314,20.0361,57972,NA
49,Acıgöl,Nevşehir,TR,34.5092,38.5503,5748,AS
50,Ad Dammām,Ash Sharqīyah,SA,50.1,26.4333,903312,AS
51,Ad Duraykīsh,Ţarţūs,SY,36.1346,34.8969,13244,AS
52,Ad Dīwānīyah,Al Qādisīyah,IQ,44.9247,31.9892,391600,AS
53,Ada,Ada,RS,20.1222,45.8014,10547,EU
54,Adana,Adana,TR,35.325,37.0,289919,AS
55,Addis Ababa,Ādīs Ābeba,ET,38.7369,9.0272,3041002,AF
56,Adelaide,South Australia,AU,138.6,-34.9275,1295714,OC
57,Aden,‘Adan,YE,45.0333,12.8,507355,AS
58,Adilcevaz,Bitlis,TR,42.7469,38.8058,6148,AS
59,Adjumani,Adjumani,UG,31.8097,3.3614,34700,AF
60,Ado-Ekiti,Ekiti,NG,5.2167,7.6167,446749,AF
61,Adrar,Adrar,DZ,-0.2939,27.8742,68276,AF
62,Adygeysk,Adygeya,RU,39.19,44.88,12745,EU
63,Adıyaman,Adıyaman,TR,38.2763,37.7644,22153,AS
64,Afyonkarahisar,Afyonkarahisar,TR,30.5386,38.7581,44026,AS
65,Afşin,Kahramanmaraş,TR,36.9167,38.25,8069,AS
66,Agadez,Agadez,NE,7.9828,16.9959,117770,AF
67,Agadir,Souss-Massa,MA,-9.5833,30.4167,421844,AF
68,Agartala,Tripura,IN,91.2667,23.8333,522613,AS
69,Agboville,Lagunes,CI,-4.2167,5.9333,81770,AF
70,Agdangan,Quezon,PH,121.9122,13.8758,12764,AS
71,Agen,Nouvelle-Aquitaine,FR,0.6212,44.2049,33012,EU
72,Agrigento,Sicilia,IT,13.5765,37.3111,59329,EU
73,Agrínio,Dytikí Elláda,GR,21.4,38.6167,46899,EU
74,Agua Blanca,Jutiapa,GT,-89.6494,14.4833,13571,NA
75,Agua Prieta,Sonora,MX,-109.5489,31.3258,91029,NA
76,Agua de Dios,Cundinamarca,CO,-74.6683,4.3781,10995,SA
77,Aguachica,Cesar,CO,-73.6153,8.3067,109621,SA
78,Aguadas,Caldas,CO,-75.4564,5.6092,21237,SA
79,Aguascalientes,Aguascalientes,MX,-102.296,21.876,934424,NA
80,Aguazul,Casanare,CO,-72.5467,5.1689,43183,SA
81,Aguiar da Beira,Guarda,PT,-7.5414,40.818,5473,EU
82,Agustín Codazzi,Cesar,CO,-73.2369,10.0367,49233,SA
83,Agía Paraskeví,Attikí,GR,23.8208,38.0053,59704,EU
84,Ahar,Āz̄arbāyjān-e Sharqī,IR,47.0603,38.475,100641,AS
85,Aheqi,Xinjiang,CN,78.4543,40.9372,11910,AS
86,Ahlat,Bitlis,TR,42.4877,38.7542,5879,AS
87,Ahmedabad,Gujarāt,IN,72.58,23.03,7717000,AS
88,Ahmetli,Manisa,TR,27.9447,38.5289,9790,AS
89,Ahram,Būshehr,IR,51.2744,28.8825,12182,AS
90,Ahuachapán,Ahuachapán,SV,-89.845,13.9214,110511,NA
91,Ahualulco de Mercado,Jalisco,MX,-103.9556,20.6992,23362,NA
92,Ahumada,Chihuahua,MX,-106.5122,30.6186,8575,NA
93,Ahvāz,Khūzestān,IR,48.6692,31.3203,1184788,AS
94,Aichach,Bavaria,DE,11.1333,48.45,21434,EU
95,Aihua,Yunnan,CN,100.135,24.4629,106054,AS
96,Ailan Mubage,Xinjiang,CN,81.3167,43.9167,526745,AS
97,Aioun,Hodh el Gharbi,MR,-9.6167,16.6667,1423,
98,Aipe,Huila,CO,-75.2375,3.2219,29177,AF
99,Aix-en-Provence,Provence-Alpes-Côte d’Azur,FR,5.4454,43.5263,143097,SA
100,Aizkraukle,Aizkraukles Novads,LV,25.255,56.6008,7044,EU
101,Ajaccio,Corsica,FR,8.7369,41.9267,70817,EU
102,Ajdovščina,Ajdovščina,SI,13.9052,45.8884,6843,EU
103,Ajdābiyā,Al Wāḩāt,LY,20.22,30.77,143833,EU
104,Ajka,Veszprém,HU,17.5522,47.1006,27995,AF
105,Akat Amnuai,Sakon Nakhon,TH,103.9859,17.5898,9013,EU
106,Akhalkalaki,Samtskhe-Javakheti,GE,43.4861,41.4056,8295,AS
107,Akhaltsikhe,Samtskhe-Javakheti,GE,42.9861,41.6389,14000,AS
108,Akhisar,Manisa,TR,27.8333,38.9167,46167,AS
109,Akhmeta,K’akheti,GE,45.2,42.0333,7105,AS
110,Akita,Akita,JP,140.1025,39.7197,302984,AS
111,Akjoujt,Inchiri,MR,-14.391,19.747,370,AS
112,Aksaray,Aksaray,TR,34.0297,38.3686,70359,AF
113,Aksay,Rostovskaya Oblast’,RU,39.8667,47.2667,45078,AS
114,Aksu,Xinjiang,CN,80.25,41.1664,535657,EU
115,Akure,Ondo,NG,5.195,7.25,847903,AS
116,Akyazı,Sakarya,TR,30.6253,40.6833,9090,AF
117,Akçaabat,Trabzon,TR,39.5833,41.0167,7600,AS
118,Akçadağ,Malatya,TR,37.9742,38.3442,5995,AS
119,Akçakoca,Düzce,TR,31.1297,41.0806,22416,AS
120,Akşehir,Konya,TR,31.4164,38.3592,25269,AS
121,Al Atārib,Ḩalab,SY,36.83,36.1389,10657,AS
122,Al Bayḑā’,Al Bayḑā’,YE,45.574,13.979,37821,AS
123,Al Bayḑā’,Al Jabal al Akhḑar,LY,21.755,32.7628,250000,AS
124,Al Başrah,Al Başrah,IQ,47.81,30.515,1326564,AF
125,Al Bāḩah,Al Bāḩah,SA,41.4677,20.0129,21983,AS
126,Al Fallūjah,Al Anbār,IQ,43.7833,33.35,326471,AS
127,Al Fayyūm,Al Fayyūm,EG,30.8333,29.3,315940,AS
128,Al Fujayrah,Al Fujayrah,AE,56.3347,25.1308,93673,AF
129,Al Fāw,Al Başrah,IQ,48.47,29.98,105080,AS
130,Al Ghardaqah,Al Baḩr al Aḩmar,EG,33.8117,27.2578,160901,AS
131,Al Ghayz̧ah,Al Mahrah,YE,52.1638,16.2394,27404,AF
132,Al Jawf,Al Kufrah,LY,23.3,24.2167,24132,AS
133,Al Karak,Al Karak,JO,35.7,31.1833,21678,AF
134,Al Khārjah,Al Wādī al Jadīd,EG,30.55,25.44,49991,AS
135,Al Kūfah,An Najaf,IQ,44.4,32.03,166100,AF
136,Al Kūt,Wāsiţ,IQ,45.8304,32.4907,321521,AS
137,Al Mafraq,Al Mafraq,JO,36.2333,32.2833,57118,AS
138,Al Manşūrah,Ad Daqahlīyah,EG,31.3833,31.05,960423,AS
139,Al Marj,Al Marj,LY,20.83,32.5005,169540,AF
140,Al Mayādīn,Dayr az Zawr,SY,40.4533,35.0208,48922,AF
141,Al Mazra‘ah,As Suwaydā’,SY,36.4833,32.7828,7547,AS
142,Al Maḩwīt,Al Maḩwīt,YE,43.5453,15.4694,10593,AS
143,Al Minyā,Al Minyā,EG,30.75,28.0833,236043,AS
144,Al Mukallā,Ḩaḑramawt,YE,49.1333,14.5333,144137,AF
145,Al Musayfirah,Dar‘ā,SY,36.3386,32.6322,10466,AS
146,Al Musayyib,Bābil,IQ,44.29,32.7786,76454,AS
147,Al Muzayrīb,Dar‘ā,SY,36.0266,32.7109,12640,AS
148,Al Mālikīyah,Al Ḩasakah,SY,42.0822,37.1031,39000,AS
149,Al Qaryatayn,Ḩimş,SY,37.2406,34.2294,37820,AS
150,Al Qunayţirah,Al Qunayţirah,SY,35.8239,33.1256,37022,AS
151,Al Quşayr,Ḩimş,SY,36.5797,34.5089,46772,AS
152,Al Quţaylibīyah,Al Lādhiqīyah,SY,36.0153,35.2889,5566,AS
153,Al Qāmishlī,Al Ḩasakah,SY,41.2167,37.05,184231,AS
154,Al Wakrah,Al Wakrah,QA,51.61,25.18,87970,AS
155,Al Ḩajar al Aswad,Rīf Dimashq,SY,36.3053,33.4581,101827,AS
156,Al Ḩasakah,Al Ḩasakah,SY,40.75,36.4833,128100,AS
157,Al Ḩayy,Wāsiţ,IQ,46.0433,32.1742,82900,AS
158,Al Ḩillah,Bābil,IQ,44.4333,32.4833,541034,AS
159,Al Ḩişn,Irbid,JO,35.88,32.487,35085,AS
160,Al Ḩudaydah,Al Ḩudaydah,YE,42.9511,14.8022,548433,AS
161,Al ‘Amādīyah,Dahūk,IQ,43.4878,37.0922,11000,AS
162,Al ‘Amārah,Maysān,IQ,47.15,31.8333,511500,AS
163,Al ‘Aqabah,Al ‘Aqabah,JO,35.0,29.5167,140000,AS
164,Al ‘Arīsh,Shamāl Sīnā’,EG,33.8006,31.1249,178651,AS
165,Alabel,Sarangani,PH,125.2868,6.1023,88294,AF
166,Alagir,North Ossetia,RU,44.2106,43.0417,20043,AS
167,Alajuela,Alajuela,CR,-84.2041,10.0311,48326,EU
168,Alajärvi,Etelä-Pohjanmaa,FI,23.8167,63.0,10006,NA
169,Alandroal,Évora,PT,-7.4,38.7,5843,EU
170,Alanya,Antalya,TR,31.9997,36.5436,12436,EU
171,Alaplı,Zonguldak,TR,31.3833,41.1833,12105,AS
172,Alashankou,Xinjiang,CN,82.5731,45.1714,40000,AS
173,Alavus,Etelä-Pohjanmaa,FI,23.6194,62.5861,12044,AS
174,Alaçam,Samsun,TR,35.595,41.61,7833,EU
175,Alaşehir,Manisa,TR,28.5167,38.35,16012,AS
176,Alba Iulia,Alba,RO,23.5728,46.0764,63536,AS
177,Albacete,Castille-La Mancha,ES,-1.8558,38.9956,172722,EU
178,Albania,Caquetá,CO,-75.8783,1.3289,6394,EU
179,Albany,New York,US,-73.7987,42.6664,586383,SA
180,Albarradas,Oaxaca,MX,-96.2,17.0667,7965,NA
181,Albergaria-a-Velha,Aveiro,PT,-8.4806,40.6936,25252,NA
182,Albertville,Auvergne-Rhône-Alpes,FR,6.3925,45.6758,19214,EU
183,Albi,Occitanie,FR,2.1464,43.9289,48993,EU
184,Albina,Marowijne,SR,-54.05,5.5,5247,EU
185,Alblasserdam,Zuid-Holland,NL,4.6667,51.8667,20069,SA
186,Albufeira,Faro,PT,-8.2458,37.0897,22794,EU
187,Albán,Cundinamarca,CO,-74.4383,4.8783,5956,EU
188,Alcalá,Valle del Cauca,CO,-75.7825,4.6736,23195,SA
189,Alcanena,Santarém,PT,-8.6667,39.4667,13868,SA
190,Alcantara,Cebu,PH,123.4047,9.9715,16910,EU
191,Alchevsk,Luhans’ka Oblast’,UA,38.7983,48.4672,105398,AS
192,Alcobaça,Leiria,PT,-8.975,39.55,56693,EU
193,Alcochete,Setúbal,PT,-8.9608,38.7553,17569,EU
194,Alcácer do Sal,Setúbal,PT,-8.5133,38.3725,13046,EU
195,Aldama,Chihuahua,MX,-105.9111,28.8386,18642,EU
196,Aldama,Tamaulipas,MX,-98.0736,22.9194,13661,NA
197,Aleg,Brakna,MR,-13.909,17.058,8388,NA
198,Aleksandrów Kujawski,Kujawsko-Pomorskie,PL,18.7,52.875,12359,AF
199,Alenquer,Lisboa,PT,-9.0167,39.05,43267,EU
200,Alençon,Normandie,FR,0.0931,48.4306,25775,EU
201,Aleppo,Ḩalab,SY,37.15,36.2,1916781,EU
202,Alessandria,Piedmont,IT,8.62,44.9133,93980,AS
203,Alexandria,Al Iskandarīyah,EG,29.9167,31.2,4870000,EU
204,Alexandria,Teleorman,RO,25.3333,43.9686,45434,AF
205,Alexandroúpoli,Anatolikí Makedonía kai Thráki,GR,25.8667,40.85,57812,EU
206,Alexándreia,Kentrikí Makedonía,GR,22.4454,40.6283,14821,EU
207,Alfândega da Fé,Bragança,PT,-6.9667,41.35,5104,EU
208,Alga,Aqtöbe,KZ,57.335,49.9032,28267,EU
209,Algeciras,Huila,CO,-75.3144,2.5219,24708,AS
210,Algiers,Alger,DZ,3.0586,36.7764,3415811,SA
211,Ali Sabieh,Ali Sabieh,DJ,42.7125,11.1558,37939,AF
212,Aliağa,İzmir,TR,26.9728,38.8008,17578,AF
213,Alibunar,Alibunar,RS,20.9658,45.0808,3431,AS
214,Alicante,Valencia,ES,-0.4831,38.3453,337304,EU
215,Alijó,Vila Real,PT,-7.4749,41.2764,11942,EU
216,Aljezur,Faro,PT,-8.8,37.3178,5884,EU
217,Aljustrel,Beja,PT,-8.1667,37.8833,9257,EU
218,Alkmaar,Noord-Holland,NL,4.744,52.6289,107822,EU
219,Allende,Coahuila de Zaragoza,MX,-100.8333,28.3333,21376,EU
220,Almada,Setúbal,PT,-9.1583,38.6803,174030,NA
221,Almaguer,Cauca,CO,-76.8561,1.9131,21374,EU
222,Almaty,Almaty,KZ,76.9,43.25,1916822,SA
223,Almeida,Guarda,PT,-6.9056,40.7259,7242,AS
224,Almeirim,Santarém,PT,-8.6333,39.2167,23376,EU
225,Almelo,Overijssel,NL,6.6667,52.3575,72459,EU
226,Almere,Flevoland,NL,5.2256,52.3758,207904,EU
227,Almería,Andalusia,ES,-2.4681,36.8403,200753,EU
228,Almirante,Bocas del Toro,PA,-82.4,9.3,8114,EU
229,Almodôvar,Beja,PT,-8.0603,37.5114,7449,NA
230,Almolonga,Quetzaltenango,GT,-91.4944,14.8122,17186,EU
231,Almoloya,Hidalgo,MX,-98.4,19.7,10638,NA
232,Almoloya de Alquisiras,México,MX,-99.85,18.85,14196,NA
233,Almyrós,Thessalía,GR,22.7606,39.1803,7955,NA
234,Alor Setar,Kedah,MY,100.3667,6.1167,217000,EU
235,Alotau,Milne Bay,PG,150.4333,-10.3167,11624,AS
236,Alotenango,Sacatepéquez,GT,-90.8058,14.4878,17369,OC
237,Alphen aan den Rijn,Zuid-Holland,NL,4.65,52.1333,110986,NA
238,Alpiarça,Santarém,PT,-8.585,39.2593,7702,EU
239,Alquízar,Artemisa,CU,-82.5828,22.8067,29616,EU
240,Alta,Finnmark,NO,23.2714,69.9686,15342,NA
241,Alta Gracia,Córdoba,AR,-64.4333,-31.6667,48140,EU
242,Altagracia de Orituco,Guárico,VE,-66.38,9.8504,40052,SA
243,Altamira,Tamaulipas,MX,-97.8694,22.3375,59536,SA
244,Altamirano,Chiapas,MX,-92.0389,16.7361,9200,NA
245,Altar,Sonora,MX,-111.8353,30.7136,8439,NA
246,Altay,Govĭ-Altay,MN,96.2572,46.3728,15800,NA
247,Altay,Xinjiang,CN,88.1166,47.8666,142000,AS
248,Altdorf,Uri,CH,8.6394,46.8806,9401,AS
249,Altenburg,Thuringia,DE,12.4333,50.985,32074,EU
250,Altenkirchen,Rhineland-Palatinate,DE,7.6456,50.6872,6263,EU
251,Altepexi,Puebla,MX,-97.3004,18.3676,21100,EU
252,Altkirch,Grand Est,FR,7.2394,47.6231,5698,NA
253,Alto Río Senguer,Chubut,AR,-70.8234,-45.0419,1570,EU
254,Altos del Rosario,Bolívar,CO,-74.1636,8.7914,13669,SA
255,Altstätten,Sankt Gallen,CH,9.5488,47.378,11730,SA
256,Altötting,Bavaria,DE,12.6759,48.2264,10119,EU
257,Alvaiázere,Leiria,PT,-8.3833,39.8333,7287,EU
258,Alvarado,Tolima,CO,-74.9533,4.5672,8873,EU
259,Alvarado,Veracruz,MX,-95.7572,18.7811,52927,SA
260,Alytus,Alytaus Miestas,LT,24.0492,54.4014,49888,NA
261,Alzey,Rhineland-Palatinate,DE,8.1161,49.7517,18535,EU
262,Alès,Occitanie,FR,4.0817,44.1281,40802,EU
263,Alīgūdarz,Lorestān,IR,49.6947,33.4006,78690,EU
264,Alūksne,Alūksnes Novads,LV,27.0503,57.4239,6535,AS
265,Am-Timan,Salamat,TD,20.2833,11.0333,38261,EU
266,Amadora,Lisboa,PT,-9.2333,38.75,175136,AF
267,Amagá,Antioquia,CO,-75.7028,6.0383,30376,EU
268,Amahai,Maluku,ID,128.919,-3.3331,47653,SA
269,Amalfi,Antioquia,CO,-75.0767,6.9092,22714,AS
270,Amarante,Porto,PT,-8.0833,41.2667,56264,SA
271,Amares,Braga,PT,-8.35,41.6333,18889,EU
272,Amasra,Bartın,TR,32.3864,41.7494,6085,EU
273,Amasya,Amasya,TR,35.8333,40.65,32900,AS
274,Amatenango de la Frontera,Chiapas,MX,-92.1167,15.4333,30732,AS
275,Amatenango del Valle,Chiapas,MX,-92.4333,16.5333,9913,NA
276,Amatepec,México,MX,-100.15,18.65,27026,NA
277,Amatitlán,Guatemala,GT,-90.6247,14.4741,125000,NA
278,Amatitán,Jalisco,MX,-103.7167,20.8333,15344,NA
279,Amatlán de los Reyes,Veracruz,MX,-96.9149,18.8457,9123,NA
280,Amatán,Chiapas,MX,-92.8167,17.3667,19348,NA
281,Ambalema,Tolima,CO,-74.7639,4.7817,7563,NA
282,Ambato,Tungurahua,EC,-78.6197,-1.2417,165185,SA
283,Ambatondrazaka,Toamasina,MG,48.4167,-17.8329,43134,SA
284,Amberg,Bavaria,DE,11.8483,49.4444,41970,AF
285,Ambert,Auvergne-Rhône-Alpes,FR,3.7417,45.5494,6634,EU
286,Ambon,Maluku,ID,128.17,-3.705,372249,EU
287,Ambrolauri,Rach’a-Lechkhumi da Kvemo Svaneti,GE,43.15,42.5194,2047,AS
288,Amealco,Querétaro,MX,-100.1439,20.1881,56457,AS
289,Ameca,Jalisco,MX,-104.0431,20.5486,36156,NA
290,Amecameca de Juárez,México,MX,-98.7665,19.1238,31687,NA
291,Amersfoort,Utrecht,NL,5.38,52.15,156286,NA
292,Amiens,Hauts-de-France,FR,2.299,49.892,133891,EU
293,Amioûn,Liban-Nord,LB,35.8097,34.2994,10000,EU
294,Amlash,Gīlān,IR,50.1864,37.0975,15047,AS
295,Amman,Al ‘Āşimah,JO,35.9333,31.95,4007526,AS
296,Amnat Charoen,Amnat Charoen,TH,104.6223,15.8758,25858,AS
297,Amstelveen,Noord-Holland,NL,4.8581,52.3019,91675,AS
298,Amsterdam,Noord-Holland,NL,4.8833,52.3667,862965,EU
299,Amstetten,Niederösterreich,AT,14.8667,48.1167,23656,EU
300,Amuntai,Kalimantan Selatan,ID,115.2494,-2.4177,41554,EU
301,An Nabk,Rīf Dimashq,SY,36.7344,34.025,52502,AS
302,An Najaf,An Najaf,IQ,44.3396,32.029,724700,AS
303,An Nāşirīyah,Dhī Qār,IQ,46.2575,31.0439,541600,AS
304,Anaco,Anzoátegui,VE,-64.4667,9.4333,162704,AS
305,Anadia,Aveiro,PT,-8.4333,40.4333,29150,SA
306,Anadyr,Chukotskiy Avtonomnyy Okrug,RU,177.5167,64.7333,15604,EU
307,Anamur,Mersin,TR,32.8261,36.0836,11246,EU
308,Anapa,Krasnodarskiy Kray,RU,37.3167,44.8944,81447,AS
309,Anapoima,Cundinamarca,CO,-74.5361,4.5503,14519,EU
310,Ancona,Marche,IT,13.5167,43.6167,100924,SA
311,Anda,Bohol,PH,124.576,9.744,17778,EU
312,Anda,Heilongjiang,CN,125.3252,46.4078,520000,AS
313,Andes,Antioquia,CO,-75.8803,5.6556,43269,AS
314,Andijon,Andijon,UZ,72.35,40.7,441700,SA
315,Andkhōy,Fāryāb,AF,65.1167,36.95,37887,AS
316,Andong,Gyeongbuk,KR,128.725,36.5656,162180,AS
317,Andorra la Vella,Andorra la Vella,AD,1.5,42.5,22615,AS
318,Andria,Puglia,IT,16.3083,41.2317,99857,EU
319,Andrijevica,Andrijevica,ME,19.7919,42.7339,1073,EU
320,Andīmeshk,Khūzestān,IR,48.35,32.45,135116,EU
321,Anenii Noi,Anenii Noi,MD,29.2308,46.8817,10872,AS
322,Ang Thong,Ang Thong,TH,100.4574,14.5926,13277,EU
323,Angeles City,Angeles,PH,120.5847,15.1472,462928,AS
324,Angers,Pays de la Loire,FR,-0.5542,47.4736,154508,AS
325,Angol,Araucanía,CL,-72.7086,-37.7988,48608,EU
326,Angostura,Sinaloa,MX,-108.1622,25.3653,5086,SA
327,Angoulême,Nouvelle-Aquitaine,FR,0.16,45.65,41711,NA
328,Ankara,Ankara,TR,32.85,39.93,77168,EU
329,Ankaran,Ankaran,SI,13.7379,45.5793,3224,AS
330,Anlu,Hubei,CN,113.6783,31.2575,720000,EU
331,Anna Paulowna,Noord-Holland,NL,4.8167,52.85,7380,AS
332,Annaba,Annaba,DZ,7.7667,36.9,257359,EU
333,Annaberg-Buchholz,Saxony,DE,13.0022,50.58,19769,AF
334,Annapolis,Maryland,US,-76.5047,38.9706,39223,EU
335,Annecy,Auvergne-Rhône-Alpes,FR,6.133,45.916,128199,NA
336,Anolaima,Cundinamarca,CO,-74.4647,4.7633,12911,EU
337,Anorí,Antioquia,CO,-75.1469,7.0736,16447,SA
338,Anqing,Anhui,CN,117.0333,30.5,4723000,SA
339,Ansbach,Bavaria,DE,10.5833,49.3,41847,AS
340,Ansião,Leiria,PT,-8.4333,39.9167,13128,EU
341,Ansongo,Gao,ML,0.5028,15.665,32709,EU
342,Antalya,Antalya,TR,30.6956,36.9081,71833,AF
343,Antananarivo,Antananarivo,MG,47.5214,-18.9386,2610000,AS
344,Antigua Guatemala,Sacatepéquez,GT,-90.7337,14.5567,59091,AF
345,Antipolo,Rizal,PH,121.1763,14.5842,887399,NA
346,Antofagasta,Antofagasta,CL,-70.398,-23.6464,348517,AS
347,Antony,Île-de-France,FR,2.2975,48.7539,62858,SA
348,Antsirabe,Antananarivo,MG,47.0333,-19.8667,257163,EU
349,Antsiranana,Antsiranana,MG,49.3115,-12.2765,82937,AF
350,Antsohihy,Mahajanga,MG,47.9834,-14.8661,21290,AF
351,Antwerp,Flanders,BE,4.3997,51.2211,529247,AF
352,Anuradhapura,North Central,LK,80.4108,8.335,63208,EU
353,Anykščiai,Anykščiai,LT,25.1072,55.5344,8491,AS
354,Ao Luek,Krabi,TH,98.7211,8.378,5719,EU
355,Aomori,Aomori,JP,140.7475,40.8222,425962,AS
356,Aosta,Valle d’Aosta,IT,7.3206,45.7372,34082,AS
357,Apan,Hidalgo,MX,-98.4333,19.7,39247,EU
358,Apapa,Lagos,NG,3.3589,6.4489,217362,NA
359,Apartadó,Antioquia,CO,-76.635,7.8847,121003,AF
360,Apaseo el Alto,Guanajuato,MX,-100.6167,20.45,64443,SA
361,Apeldoorn,Gelderland,NL,5.97,52.21,161156,NA
362,Apia,Tuamasaga,WS,-171.8333,-13.8333,37708,EU
363,Apizaco,Tlaxcala,MX,-98.1333,19.4167,81565,OC
364,Apolda,Thuringia,DE,11.5139,51.0247,22012,NA
365,Apostolove,Dnipropetrovs’ka Oblast’,UA,33.717,47.6595,13792,EU
366,Appenzell,Appenzell Innerrhoden,CH,9.4086,47.3306,5750,EU
367,Appingedam,Groningen,NL,6.8667,53.3167,11721,EU
368,Apsheronsk,Krasnodarskiy Kray,RU,39.7406,44.4608,39762,EU
369,Apt,Provence-Alpes-Côte d’Azur,FR,5.3964,43.8761,11011,EU
370,Aqtaū,Mangghystaū,KZ,51.1575,43.6525,183350,EU
371,Aqtöbe,Aqtöbe,KZ,57.2297,50.2836,387807,AS
372,Aquitania,Boyacá,CO,-72.8836,5.5194,16087,AS
373,Ar Ramthā,Irbid,JO,36.0069,32.5592,155693,SA
374,Ar Ramādī,Al Anbār,IQ,43.2992,33.4258,874543,AS
375,Ar Raqqah,Ar Raqqah,SY,39.01,35.95,299824,AS
376,Ar Rastan,Ḩimş,SY,36.7333,34.9167,61176,AS
377,Ar Rawḑah,Shabwah,YE,47.27,14.48,6649,AS
378,Ar Ruţbah,Al Anbār,IQ,40.2833,33.0333,22370,AS
379,Aracaju,Sergipe,BR,-37.05,-10.9167,632744,AS
380,Aracataca,Magdalena,CO,-74.185,10.5911,40400,SA
381,Arad,Arad,RO,21.3167,46.1667,159074,SA
382,Aralık,Adıyaman,TR,44.5192,39.8728,6098,EU
383,Aranyaprathet,Sa Kaeo,TH,102.5017,13.6928,16211,AS
384,Arapgir,Malatya,TR,38.4953,39.0411,6120,AS
385,Arar,Al Ḩudūd ash Shamālīyah,SA,41.0167,30.9833,27449,AS
386,Aratoca,Santander,CO,-73.0175,6.6956,8269,AS
387,Arauca,Arauca,CO,-70.7617,7.0903,96814,SA
388,Arauquita,Arauca,CO,-71.4272,7.0261,41309,SA
389,Araure,Portuguesa,VE,-69.2167,9.5667,188800,SA
390,Aračinovo,Aračinovo,MK,21.5617,42.0264,7315,SA
391,Arboletes,Antioquia,CO,-76.4272,8.8511,44560,EU
392,Arbuzynka,Mykolayivs’ka Oblast’,UA,31.3131,47.9067,6266,SA
393,Arcabuco,Boyacá,CO,-73.4375,5.7544,5240,EU
394,Arcachon,Nouvelle-Aquitaine,FR,-1.1689,44.6586,11567,SA
395,Arcos de Valdevez,Viana do Castelo,PT,-8.4167,41.85,22847,EU
396,Ardabīl,Ardabīl,IR,48.3,38.25,529374,EU
397,Ardahan,Ardahan,TR,42.7,41.1167,16251,AS
