,city,region,country,lng,lat,population,continent
7111,Sines,Setúbal,PT,-8.8644,37.9546,14238,AS
7112,Sing Buri,Sing Buri,TH,100.4031,14.8911,17843,AS
7113,Singapore,Central Singapore,SG,103.8,1.3,5271000,EU
7114,Singaraja,Bali,ID,115.0833,-8.1167,234468,SA
7115,Singhanakhon,Songkhla,TH,100.5506,7.2389,42423,EU
7116,Singida,Singida,TZ,34.7506,-4.8186,62432,NA
7117,Singuilucan,Hidalgo,MX,-98.5178,19.9675,13143,EU
7118,Sinjār,Nīnawá,IQ,41.8766,36.3209,88023,SA
7119,Sinop,Sinop,TR,35.1511,42.0267,13354,EU
7120,Sint Anthonis,Noord-Brabant,NL,5.8811,51.6258,11606,AS
7121,Sint-Michielsgestel,Noord-Brabant,NL,5.3586,51.6433,28991,AS
7122,Sint-Niklaas,Flanders,BE,4.1392,51.1644,76756,AS
7123,Sint-Oedenrode,Noord-Brabant,NL,5.4608,51.5636,17893,AS
7124,Sintra,Lisboa,PT,-9.3904,38.7974,377835,AF
7125,Sinŭiju,P’yŏngbuk,KP,124.4,40.1,352000,NA
7126,Sipacapa,San Marcos,GT,-91.6342,15.2128,17549,AS
7127,Siparia,Siparia,TT,-61.5,10.1333,10254,AS
7128,Sipoo,Uusimaa,FI,25.2722,60.3764,19399,EU
7129,Siquijor,Siquijor,PH,123.514,9.215,28915,EU
7130,Siquinalá,Escuintla,GT,-90.9659,14.3082,20843,EU
7131,Siracusa,Sicilia,IT,15.2875,37.0692,121171,EU
7132,Sironko,Sironko,UG,34.2481,1.2294,14100,EU
7133,Sisak,Sisačko-Moslavačka Županija,HR,16.3761,45.4872,33322,AS
7134,Sisimiut,Qeqqata,GL,-53.6722,66.9389,5539,NA
7135,Sisophon,Banteay Meanchey,KH,102.9737,13.5859,50302,NA
7136,Siteki,Lubombo,SZ,31.95,-26.45,6152,EU
7137,Siteía,Kríti,GR,26.1,35.2,9348,AS
7138,Sitionuevo,Magdalena,CO,-74.7203,10.7758,31706,NA
7139,Sittard,Limburg,NL,5.8667,51.0,49483,EU
